Experiment_ID,Element,Atomic_Number,Decay_Constant,Initial_Nuclei,Time,Undecayed_Nuclei,Activity
1,U-238,92,0.00015,10000,0.0,10352.810469193531,1.5529215703790296
1,U-238,92,0.00015,10000,0.5050505050505051,10079.267831852843,1.5118901747779263
1,U-238,92,0.00015,10000,1.0101010101010102,10194.202903604373,1.5291304355406559
1,U-238,92,0.00015,10000,1.5151515151515151,10445.804323604665,1.5668706485406996
1,U-238,92,0.00015,10000,2.0202020202020203,10370.368585904964,1.5555552878857444
1,U-238,92,0.00015,10000,2.5252525252525255,9800.831284730337,1.4701246927095504
1,U-238,92,0.00015,10000,3.0303030303030303,10185.386909813638,1.5278080364720457
1,U-238,92,0.00015,10000,3.5353535353535355,9964.442982676937,1.4946664474015405
1,U-238,92,0.00015,10000,4.040404040404041,9973.309967342424,1.4959964951013636
1,U-238,92,0.00015,10000,4.545454545454546,10075.247870800074,1.511287180620011
1,U-238,92,0.00015,10000,5.050505050505051,10021.214009018417,1.5031821013527624
1,U-238,92,0.00015,10000,5.555555555555556,10282.28256136252,1.5423423842043777
1,U-238,92,0.00015,10000,6.0606060606060606,10142.98245929913,1.5214473688948693
1,U-238,92,0.00015,10000,6.565656565656566,10014.467411997693,1.502170111799654
1,U-238,92,0.00015,10000,7.070707070707071,10078.078105486122,1.511711715822918
1,U-238,92,0.00015,10000,7.575757575757576,10055.301891275185,1.5082952836912775
1,U-238,92,0.00015,10000,8.080808080808081,10286.339964171866,1.5429509946257798
1,U-238,92,0.00015,10000,8.585858585858587,9946.150658749479,1.4919225988124216
1,U-238,92,0.00015,10000,9.090909090909092,10048.901146077938,1.5073351719116905
1,U-238,92,0.00015,10000,9.595959595959597,9815.042966226498,1.4722564449339746
1,U-238,92,0.00015,10000,10.101010101010102,9475.035041794852,1.4212552562692278
1,U-238,92,0.00015,10000,10.606060606060607,10114.619472218903,1.5171929208328354
1,U-238,92,0.00015,10000,11.111111111111112,10155.946548869491,1.5233919823304236
1,U-238,92,0.00015,10000,11.616161616161618,9834.416332963787,1.475162449944568
1,U-238,92,0.00015,10000,12.121212121212121,10434.961010088096,1.5652441515132143
1,U-238,92,0.00015,10000,12.626262626262626,9690.755769591879,1.4536133654387817
1,U-238,92,0.00015,10000,13.131313131313131,9989.456111222677,1.4984184166834014
1,U-238,92,0.00015,10000,13.636363636363637,9942.206086655011,1.4913309129982515
1,U-238,92,0.00015,10000,14.141414141414142,10284.716622688,1.5427074934032
1,U-238,92,0.00015,10000,14.646464646464647,10271.281254080348,1.540692188112052
1,U-238,92,0.00015,10000,15.151515151515152,10008.2176686302,1.5012326502945297
1,U-238,92,0.00015,10000,15.656565656565657,10051.997797384041,1.5077996696076061
1,U-238,92,0.00015,10000,16.161616161616163,9798.65970750594,1.4697989561258908
1,U-238,92,0.00015,10000,16.666666666666668,9579.861091597157,1.4369791637395735
1,U-238,92,0.00015,10000,17.171717171717173,9904.872135395075,1.4857308203092612
1,U-238,92,0.00015,10000,17.67676767676768,10004.706961412414,1.500706044211862
